winner_pp,placer_pp,show_pp,winner,placer,show,our_prob_pct,mkt_prob_pct,payout_per_1,payout_source,overlay,ev_per_1
6,8,15,Commandment,So Happy,Emerging Market,0.1211,0.2079,375.2005,synth,0.5827,-0.5455
8,15,6,So Happy,Emerging Market,Commandment,0.1091,0.1942,401.7211,synth,0.5619,-0.5617
8,6,15,So Happy,Commandment,Emerging Market,0.116,0.2079,375.2005,synth,0.5579,-0.5648
1,12,8,Renegade,Chief Wallabee,So Happy,0.11,0.2039,382.5319,synth,0.5393,-0.5793
18,7,8,Further Ado,Danon Bourbon (JPN),So Happy,0.0554,0.1028,758.7282,synth,0.5389,-0.5797
18,8,7,Further Ado,So Happy,Danon Bourbon (JPN),0.0601,0.1134,687.6181,synth,0.5302,-0.5864
1,8,12,Renegade,So Happy,Chief Wallabee,0.1117,0.2127,366.7296,synth,0.5251,-0.5904
12,1,8,Chief Wallabee,Renegade,So Happy,0.1046,0.2007,388.5575,synth,0.5209,-0.5937
8,1,12,So Happy,Renegade,Chief Wallabee,0.1076,0.2173,359.0273,synth,0.4955,-0.6135
12,8,1,Chief Wallabee,So Happy,Renegade,0.1005,0.2056,379.3854,synth,0.4886,-0.6189
1,6,7,Renegade,Commandment,Danon Bourbon (JPN),0.0543,0.1134,687.6181,synth,0.4791,-0.6263
15,12,8,Emerging Market,Chief Wallabee,So Happy,0.063,0.1319,591.231,synth,0.4776,-0.6275
8,12,1,So Happy,Chief Wallabee,Renegade,0.1018,0.2133,365.6575,synth,0.4773,-0.6277
6,1,7,Commandment,Renegade,Danon Bourbon (JPN),0.0547,0.1159,673.1762,synth,0.4721,-0.6317
6,12,8,Commandment,Chief Wallabee,So Happy,0.1169,0.2489,313.4207,synth,0.4698,-0.6336
8,18,7,So Happy,Further Ado,Danon Bourbon (JPN),0.0543,0.1159,673.1762,synth,0.4686,-0.6345
12,15,8,Chief Wallabee,Emerging Market,So Happy,0.0629,0.1348,578.6676,synth,0.4667,-0.636
15,8,12,Emerging Market,So Happy,Chief Wallabee,0.0639,0.1374,567.8029,synth,0.4655,-0.6369
12,6,8,Chief Wallabee,Commandment,So Happy,0.1104,0.2399,325.1875,synth,0.4604,-0.6409
6,8,12,Commandment,So Happy,Chief Wallabee,0.1187,0.2599,300.1604,synth,0.457,-0.6436
8,15,12,So Happy,Emerging Market,Chief Wallabee,0.0647,0.1456,535.6282,synth,0.4443,-0.6534
12,8,15,Chief Wallabee,So Happy,Emerging Market,0.0637,0.1439,541.9792,synth,0.4428,-0.6546
12,8,6,Chief Wallabee,So Happy,Commandment,0.1053,0.2399,325.1875,synth,0.4391,-0.6575
8,6,12,So Happy,Commandment,Chief Wallabee,0.1137,0.2599,300.1604,synth,0.4375,-0.6587
8,12,15,So Happy,Chief Wallabee,Emerging Market,0.0646,0.1493,522.3678,synth,0.4325,-0.6626
8,12,6,So Happy,Chief Wallabee,Commandment,0.1068,0.2489,313.4207,synth,0.4289,-0.6654
