winner_pp,winner,placer_pp,placer,payout,market_prob_pct,fair_card_pct,fair_rank_pct,fair_avg_pct,overlay_card,overlay_rank,overlay_avg,ev_per_1
21,Great White,22,Ocelli,3379.83,0.023,0.005,0.0,0.003,0.234,0.004,0.119,-0.907
21,Great White,10,Wonder Dean (JPN),2078.1,0.038,0.007,0.001,0.004,0.195,0.015,0.105,-0.918
10,Wonder Dean (JPN),21,Great White,1985.93,0.039,0.007,0.001,0.004,0.189,0.014,0.101,-0.921
21,Great White,7,Danon Bourbon (JPN),1366.99,0.057,0.01,0.001,0.006,0.173,0.02,0.097,-0.924
23,Robusta,21,Great White,3959.62,0.02,0.004,0.0,0.002,0.187,0.005,0.096,-0.925
17,Six Speed,21,Great White,1976.8,0.039,0.007,0.0,0.004,0.178,0.006,0.092,-0.928
21,Great White,23,Robusta,3760.45,0.021,0.004,0.0,0.002,0.177,0.005,0.091,-0.929
21,Great White,17,Six Speed,1970.4,0.04,0.007,0.0,0.004,0.176,0.006,0.091,-0.929
7,Danon Bourbon (JPN),21,Great White,1160.15,0.067,0.01,0.001,0.006,0.15,0.017,0.084,-0.935
10,Wonder Dean (JPN),7,Danon Bourbon (JPN),266.73,0.292,0.033,0.01,0.021,0.111,0.035,0.073,-0.943
7,Danon Bourbon (JPN),10,Wonder Dean (JPN),257.92,0.302,0.033,0.01,0.022,0.108,0.034,0.071,-0.944
